FileName,SKU,Scale_1,Scale_2,Scale_3,Scale_4
PATTERN_54.jpg,0251,15,30,45,70
lullaby llama_0011_l.jpg,0252,30,70,100,150
Chevron3.jpg,0253,30,70,100,150
lullaby llama_0009_l.jpg,0254,30,70,100,150
lullaby llama_0010_l.jpg,0255,30,70,100,150
PORTRAIT_PATTERN_51.jpg,0256,15,30,45,70
WATERCOLOR_TEXTURE_23.jpg,0257,15,30,45,70
PORTRAIT_PATTERN_53.jpg,0258,15,30,45,70
pink tile.jpg,0259,30,70,100,150
CUPCAKE_PATTERN_5.jpg,0260,30,70,100,150
Chevron7.jpg,0261,30,70,100,150
Chevron12.jpg,0262,30,70,100,150
PORTRAIT_PATTERN_80.jpg,0263,15,30,45,70
Chevron4.jpg,0264,30,70,100,150
lullaby llama_0002_l.jpg,0265,30,70,100,150
llama -02.jpg,0266,30,70,100,150
lullaby llama_0008_l.jpg,0267,30,70,100,150
lullaby llama_0005_l.jpg,0268,30,70,100,150
lullaby llama_0001_l.jpg,0269,30,70,100,150
lullaby llama_0006_l.jpg,0270,30,70,100,150
FLORAL&GEOMETRIC_PATTERN_4.jpg,0271,30,70,100,150
lullaby llama_0014_l.jpg,0272,30,70,100,150
lullaby llama_0013_l.jpg,0273,30,70,100,150
VERY_FRIENDLY_PATTERN_5.jpg,0274,15,30,45,70
WATERCOLOR_TEXTURE_9.jpg,0275,15,30,45,70
PARTY_PATTERN_18.jpg,0276,15,30,45,70
CARTOON_PATTERN_15.jpg,0277,15,30,45,70
ARTISTIC_PATTERN_12.jpg,0278,15,30,45,70
pattern_0012_6.jpg,0279,30,70,100,150
PATTERN_130.jpg,0280,15,30,45,70
PATTERN_428.jpg,0281,30,70,100,150
PATTERN_398.jpg,0282,15,30,45,70
PATTERN_412.jpg,0283,15,30,45,70
Chevron1.jpg,0284,30,70,100,150
GEOMETRIC_PATTERN_1_LUCITE_GREEN.jpg,0285,30,70,100,150
